Date,Price
2008-10-14,104.08
2008-10-02,100.1
2008-10-01,109.12
2008-09-30,113.66
2008-09-03,166.96
2008-09-02,166.19
2008-08-29,169.53
2008-08-05,160.64
2008-08-04,153.23
2008-08-01,156.66
2008-07-28,154.4
2008-07-17,171.81
2008-07-01,174.68
2008-06-30,167.44
2008-06-04,185.19
2008-06-03,185.37
2008-06-02,186.1
2008-05-30,188.75
2008-05-05,184.73
2008-05-02,180.94
2008-05-01,180
2008-04-30,173.95
2008-04-02,147.49
2008-04-01,149.53
2008-03-31,143.5
2008-03-14,126.61
2008-03-13,127.94
2008-03-03,121.73
2008-02-29,125.02
2008-02-07,121.24
2008-02-06,122
2008-02-01,133.75
2008-01-31,135.36
2008-01-03,194.93
2008-01-02,194.84